ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",68.6,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947204,2.1.1.3.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",58.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947204,2.1.1.3.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",53.5,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947204,2.1.1.3.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947211,2.1.1.4.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",13.2,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947211,2.1.1.4.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",16.5,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947211,2.1.1.4.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",13.7,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947218,2.1.1.5.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.0,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947218,2.1.1.5.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.2,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947218,2.1.1.5.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,10.1,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947260,2.1.1.11.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,12.7,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947260,2.1.1.11.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,15.2,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947260,2.1.1.11.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,11.8,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947267,2.1.1.12.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,16.4,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947267,2.1.1.12.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000210,Percent,239,units,0,v1806947267,2.1.1.12.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.2,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947288,2.1.1.15.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.7,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947288,2.1.1.15.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.8,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947288,2.1.1.15.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,23.6,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947316,2.1.1.19.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,25.1,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947316,2.1.1.19.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,22.9,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947316,2.1.1.19.4,,,1
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",79.3,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947344,2.1.1.23.4,,,1
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",76.6,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947344,2.1.1.23.4,,,1
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.7,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947344,2.1.1.23.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",70.2,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947379,2.1.2.3.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",59.6,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947379,2.1.2.3.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",55.8,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947379,2.1.2.3.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947386,2.1.2.4.4,,,1
