ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2002,2002,Alberta,Men+,15 to 24 years,"Cannabis use, 12 months",37.4,31.1,43.7,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Cannabis use, life",56.4,49.3,63.6,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Major depressive episode, 12 months",5.2,2.4,7.9,percent,percent,E
2002,2002,Alberta,Men+,15 to 24 years,"Major depressive episode, life",7.1,3.7,10.4,percent,percent,E
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, fair or poor",3.1,1.5,4.8,percent,percent,E
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, good",26.2,20.0,32.3,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, very good or excellent",70.7,64.4,77.0,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days a bit stressful",40.9,33.9,48.0,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days not at all or not very stressful",46.6,38.9,54.3,percent,percent,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days quite a bit or extremely stressful",12.4,7.7,17.2,percent,percent,E
2002,2002,Alberta,Men+,15 to 24 years,"Suicidal thoughts, 12 months",6.2,2.9,9.5,percent,percent,E
2002,2002,Alberta,Men+,15 to 24 years,"Suicidal thoughts, life",17.4,12.4,22.5,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Cannabis use, 12 months",20.0,16.5,23.6,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Cannabis use, life",69.9,65.6,74.2,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Major depressive episode, 12 months",4.9,3.0,6.9,percent,percent,E
2002,2002,Alberta,Men+,25 to 44 years,"Major depressive episode, life",10.2,7.3,13.0,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, fair or poor",6.9,4.8,9.1,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, good",29.5,25.1,33.9,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, very good or excellent",63.6,58.9,68.3,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days a bit stressful",44.4,39.3,49.5,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days not at all or not very stressful",26.5,22.0,31.0,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days quite a bit or extremely stressful",29.1,24.1,34.1,percent,percent,
2002,2002,Alberta,Men+,25 to 44 years,"Suicidal thoughts, 12 months",4.9,2.9,6.9,percent,percent,E
2002,2002,Alberta,Men+,25 to 44 years,"Suicidal thoughts, life",18.7,15.1,22.3,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Cannabis use, 12 months",13.6,11.4,15.9,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Cannabis use, life",58.8,55.4,62.3,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Major depressive episode, 12 months",5.5,3.9,7.1,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Major depressive episode, life",10.6,8.3,12.9,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, fair or poor",7.3,5.6,9.1,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, good",31.3,27.7,34.9,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, very good or excellent",61.4,57.6,65.1,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days a bit stressful",41.6,37.4,45.8,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days not at all or not very stressful",28.5,25.0,32.0,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days quite a bit or extremely stressful",29.9,26.0,33.9,percent,percent,
2002,2002,Alberta,Men+,25 to 64 years,"Suicidal thoughts, 12 months",4.4,2.9,5.8,percent,percent,E
2002,2002,Alberta,Men+,25 to 64 years,"Suicidal thoughts, life",15.3,12.8,17.8,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Cannabis use, 12 months",4.6,2.5,6.6,percent,percent,E
2002,2002,Alberta,Men+,45 to 64 years,"Cannabis use, life",43.1,36.9,49.4,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Major depressive episode, 12 months",6.3,3.3,9.3,percent,percent,E
2002,2002,Alberta,Men+,45 to 64 years,"Major depressive episode, life",11.2,6.9,15.4,percent,percent,E
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, fair or poor",7.9,4.7,11.2,percent,percent,E
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, good",33.8,27.6,40.1,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, very good or excellent",58.2,52.1,64.3,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Self-rated work stress, days a bit stressful",37.1,30.1,44.1,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Self-rated work stress, days not at all or not very stressful",31.6,25.1,38.2,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Self-rated work stress, days quite a bit or extremely stressful",31.2,24.8,37.6,percent,percent,
2002,2002,Alberta,Men+,45 to 64 years,"Suicidal thoughts, 12 months",3.6,1.3,5.8,percent,percent,E
2002,2002,Alberta,Men+,45 to 64 years,"Suicidal thoughts, life",10.5,7.0,14.0,percent,percent,E
2002,2002,Alberta,Men+,65 years and over,"Cannabis use, life",13.2,7.0,19.4,percent,percent,E
2002,2002,Alberta,Men+,65 years and over,"Perceived mental health, fair or poor",10.3,4.3,16.3,percent,percent,E
2002,2002,Alberta,Men+,65 years and over,"Perceived mental health, good",28.6,21.2,36.0,percent,percent,
2002,2002,Alberta,Men+,65 years and over,"Perceived mental health, very good or excellent",61.1,52.7,69.5,percent,percent,
2002,2002,Alberta,Men+,65 years and over,"Self-rated work stress, days not at all or not very stressful",65.2,40.8,89.5,percent,percent,E
2002,2002,Alberta,Men+,"Total, 15 years and over","Cannabis use, 12 months",16.7,14.7,18.7,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Cannabis use, life",53.4,50.4,56.4,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Major depressive episode, 12 months",5.4,4.0,6.8,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Major depressive episode, life",9.6,7.7,11.4,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Perceived mental health, fair or poor",6.9,5.4,8.3,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Perceived mental health, good",30.0,27.1,32.9,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Perceived mental health, very good or excellent",63.1,60.1,66.2,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Post-traumatic stress disorder, current diagnosed condition",1.1,0.4,1.7,percent,percent,E
2002,2002,Alberta,Men+,"Total, 15 years and over","Self-rated work stress, days a bit stressful",40.9,37.3,44.5,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Self-rated work stress, days not at all or not very stressful",32.7,29.4,36.0,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Self-rated work stress, days quite a bit or extremely stressful",26.4,23.2,29.7,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Suicidal thoughts, 12 months",4.4,3.1,5.6,percent,percent,
2002,2002,Alberta,Men+,"Total, 15 years and over","Suicidal thoughts, life",15.0,12.9,17.2,percent,percent,
2002,2002,Alberta,"Total, gender of person",15 to 24 years,"Cannabis use, 12 months",33.1,28.5,37.7,percent,percent,
