service,fiscal_year,year,start_year,diagnosis_category,sex,age_group,rate_per_100k,ci_low,ci_high
ED visit,2018-2019,2019,2018,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,6.0,,
ED visit,2018-2019,2019,2018,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,9.0,,
ED visit,2018-2019,2019,2018,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,8.0,,
ED visit,2018-2019,2019,2018,Substance-related disorders,Female,Agegroup:5–9years–Rate,1.0,,
ED visit,2018-2019,2019,2018,Substance-related disorders,Male,Agegroup:5–9years–Rate,2.0,,
ED visit,2018-2019,2019,2018,Substance-related disorders,Total,Agegroup:5–9years–Rate,2.0,,
ED visit,2018-2019,2019,2018,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,1.0,,
ED visit,2018-2019,2019,2018,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,3.0,,
ED visit,2018-2019,2019,2018,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,2.0,,
ED visit,2018-2019,2019,2018,Mood disorders,Female,Agegroup:5–9years–Rate,5.0,,
ED visit,2018-2019,2019,2018,Mood disorders,Male,Agegroup:5–9years–Rate,14.0,,
ED visit,2018-2019,2019,2018,Mood disorders,Total,Agegroup:5–9years–Rate,10.0,,
ED visit,2018-2019,2019,2018,Anxiety disorders,Female,Agegroup:5–9years–Rate,46.0,,
ED visit,2018-2019,2019,2018,Anxiety disorders,Male,Agegroup:5–9years–Rate,44.0,,
ED visit,2018-2019,2019,2018,Anxiety disorders,Total,Agegroup:5–9years–Rate,45.0,,
ED visit,2018-2019,2019,2018,Personality disorders,Female,Agegroup:5–9years–Rate,1.0,,
ED visit,2018-2019,2019,2018,Personality disorders,Male,Agegroup:5–9years–Rate,2.0,,
ED visit,2018-2019,2019,2018,Personality disorders,Total,Agegroup:5–9years–Rate,2.0,,
ED visit,2018-2019,2019,2018,Other disorders,Female,Agegroup:5–9years–Rate,87.0,,
ED visit,2018-2019,2019,2018,Other disorders,Male,Agegroup:5–9years–Rate,204.0,,
