indicator,breakdown,group,value,ci_low,ci_high,metric_type,unit_label
Self-rated mental health in youth,Sex,Males,71.8,68.4,75.2,percent,Percentage (%)
Self-rated mental health in youth,Sex,Females,52.3,48.4,56.3,percent,Percentage (%)
Self-rated mental health in youth,Sex,Total population,62.2,59.7,64.8,percent,Percentage (%)
Happiness in youth,Sex,Males,75.7,72.1,79.3,percent,Percentage (%)
Happiness in youth,Sex,Females,70.1,66.5,73.7,percent,Percentage (%)
Happiness in youth,Sex,Total population,73.0,70.4,75.5,percent,Percentage (%)
Life satisfaction in youth,Sex,Males,8.7,8.6,8.8,mean_score,Mean
Life satisfaction in youth,Sex,Females,8.2,8.1,8.4,mean_score,Mean
Life satisfaction in youth,Sex,Total population,8.4,8.4,8.5,mean_score,Mean
Psychological well-being: Autonomy in youth,Sex,Males,81.4,80.1,82.8,percent,Percentage (%)
Psychological well-being: Autonomy in youth,Sex,Females,80.1,78.7,81.5,percent,Percentage (%)
Psychological well-being: Autonomy in youth,Sex,Total population,80.8,79.8,81.7,percent,Percentage (%)
Psychological well-being: Competence in youth,Sex,Males,85.3,83.9,86.6,percent,Percentage (%)
Psychological well-being: Competence in youth,Sex,Females,83.2,81.8,84.6,percent,Percentage (%)
Psychological well-being: Competence in youth,Sex,Total population,84.3,83.3,85.2,percent,Percentage (%)
Social well-being in youth,Sex,Males,89.1,88.0,90.2,percent,Percentage (%)
Social well-being in youth,Sex,Females,89.6,88.5,90.8,percent,Percentage (%)
Social well-being in youth,Sex,Total population,89.3,88.6,90.1,percent,Percentage (%)
Self-rated mental health in adults,Sex,Males,62.2,60.9,63.5,percent,Percentage (%)
Self-rated mental health in adults,Sex,Females,55.8,54.5,57.0,percent,Percentage (%)
Self-rated mental health in adults,Sex,Total population,58.9,58.0,59.8,percent,Percentage (%)
Self-rated mental health in adults,Age,18-24,46.8,43.1,50.5,percent,Percentage (%)
Self-rated mental health in adults,Age,25-44,55.3,53.7,57.0,percent,Percentage (%)
