ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-04,2021,Alberta,Men,Excellent or very good perceived health,60.6,54.9,66.0,percent,percent,
2021-04,2021,Alberta,Men,Fair or poor perceived health,9.3,6.7,12.9,percent,percent,
2021-04,2021,Alberta,Men,Good perceived health,30.1,25.0,35.7,percent,percent,
2021-04,2021,Alberta,"Total, all persons",Excellent or very good perceived health,57.5,53.8,61.0,percent,percent,
2021-04,2021,Alberta,"Total, all persons",Fair or poor perceived health,11.3,9.2,13.8,percent,percent,
2021-04,2021,Alberta,"Total, all persons",Good perceived health,31.2,27.9,34.7,percent,percent,
2021-04,2021,Alberta,Women,Excellent or very good perceived health,54.4,49.7,59.1,percent,percent,
2021-04,2021,Alberta,Women,Fair or poor perceived health,13.3,10.2,17.1,percent,percent,
2021-04,2021,Alberta,Women,Good perceived health,32.3,28.1,36.9,percent,percent,
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,57.6,53.2,61.9,percent,percent,
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,13.8,11.2,16.8,percent,percent,
2021-04,2021,Atlantic Region,Men,Good perceived health,28.6,24.7,32.8,percent,percent,
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,57.3,54.6,60.0,percent,percent,
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,13.2,11.5,15.1,percent,percent,
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,29.5,27.0,32.1,percent,percent,
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,57.0,53.4,60.5,percent,percent,
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,12.6,10.4,15.2,percent,percent,
2021-04,2021,Atlantic Region,Women,Good perceived health,30.4,27.2,33.8,percent,percent,
2021-04,2021,British Columbia,Men,Excellent or very good perceived health,58.5,53.9,63.0,percent,percent,
2021-04,2021,British Columbia,Men,Fair or poor perceived health,11.4,8.8,14.5,percent,percent,
2021-04,2021,British Columbia,Men,Good perceived health,30.1,26.0,34.6,percent,percent,
