ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",87.9,83.7,91.1,percent,percent,
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",77.4,72.7,81.5,percent,percent,
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",6.6,4.5,9.6,percent,percent,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",7.5,5.1,10.9,percent,percent,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",67.8,62.2,72.9,percent,percent,
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",10.7,7.6,14.8,percent,percent,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",2.7,1.5,4.6,percent,percent,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",87.3,84.8,89.5,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",77.4,74.6,80.0,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",8.7,7.1,10.6,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",23.9,21.2,26.9,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",3.7,2.6,5.4,percent,percent,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",4.1,3.0,5.5,percent,percent,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",2.8,1.7,4.3,percent,percent,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",11.5,9.1,14.4,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",15.6,13.3,18.4,percent,percent,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",29.6,26.8,32.6,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",90.0,87.7,91.9,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",83.0,80.1,85.5,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, family",15.5,12.8,18.5,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",25.3,22.3,28.6,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, health",3.7,2.7,5.0,percent,percent,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, none",6.2,4.4,8.6,percent,percent,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, other",1.3,0.9,1.9,percent,percent,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",15.8,13.3,18.6,percent,percent,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, work",31.2,28.1,34.5,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",88.6,86.1,90.8,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",84.7,81.6,87.4,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, family",18.7,16.2,21.6,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",18.5,15.8,21.7,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, health",9.5,7.6,11.7,percent,percent,
2016,2016,Alberta,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, none",9.8,7.9,12.0,percent,percent,
